cik,name
18396,Cdi Corp
18498,Genesco Inc
18540,Central & South West Corp
18605,Central Natural Resources Inc
18647,Central Hudson Gas & Electric Corp
18651,Central Illinois Light Co
18532,Centex Llc
18349,Synovus Financial Corp
18654,Ameren Illinois Co
18672,Cleco Power Llc
18675,Central Maine Power Co
18568,Compass Bancshares Inc
18734,Aep Texas Central Co
18230,Caterpillar Inc
18827,Ekco Group Inc /De/
18914,Century Realty Trust
18886,Wolverine Holding Corp.
18934,Cv Reit Inc
18937,Ceradyne Inc
19002,"Cybrdi, Inc."
19149,Champion Industries Inc
19150,Champion International Corp
18808,Central Vermont Public Service Corp
19161,Champion Parts Inc
19252,Chaparral Resources Inc
18926,"Lumen Technologies, Inc."
19520,Chattem Inc
19704,Cherry Corp
19719,Verizon Washington Dc Inc
19353,Charming Shoppes Inc
19722,Verizon Maryland Inc
19446,Cantel Medical Llc
19584,Chemed Corp
19724,Verizon West Virginia Inc
19612,Tcf Financial Corp
19725,Verizon Virginia Inc
19411,Magellan Health Inc
19731,Canal Corp
19871,Chicago Rivet & Machine Co
19913,Chief Consolidated Mining Co
20041,Chock Full O Nuts Corp
20067,Chris Craft Industries Inc
20104,Christiana Companies Inc
20164,Chrysler Financial Corp
19745,Chesapeake Utilities Corp
20199,Cli Capital
20232,Chyronhego Corp
20290,"Duke Energy Ohio, Inc."
20388,Cit Group Inc
20405,Citicorp
20171,Chubb Corp
20469,United Magazine Co
20212,Churchill Downs Inc
20639,Ambase Corp
20286,Cincinnati Financial Corp
20762,Premcor Refining Group Inc
20740,Clarcor Inc.
20947,Cleveland Electric Illuminating Co
20975,Clevetrust Realty Investors
20629,Css Industries Inc
21157,Cmi Terex Corp
21221,United Vanguard Homes Inc /De
21212,All American Group Inc
21239,Coastal Caribbean Oils & Minerals Ltd
21267,El Paso Cgp Co Llc
21076,Clorox Co /De/
20520,"Frontier Communications Parent, Inc."
21271,Valero Energy Corp
21175,Cna Financial Corp
21438,"Thinkengine Networks, Inc."
21610,Ranger Industries Inc
21627,Coleman Co Inc
21686,Collagen Aesthetics Inc
21759,Collins Industries Inc
21828,"Ccom Group, Inc."
21510,Coherent Inc
21535,Cohu Inc
22099,Columbia Energy Group
22252,Comarco Inc
22301,Comcast Holdings Corp
22198,Columbus Southern Power Co /Oh/
21344,Coca Cola Co
22470,Commercial Intertech Corp
22551,Tri Valley Corp
21665,Colgate Palmolive Co
22698,Comsat Corp
22606,Commonwealth Edison Co
22620,Commonwealth Gas Co
22444,Commercial Metals Co
22709,Westford Group Inc
22764,Transitional Hospitals Corp
22872,"Advanzeon Solutions, Inc."
22767,Texas New Mexico Power Co
22912,Compudyne Corp
22701,"Sunation Energy, Inc."
22356,Commerce Bancshares Inc /Mo/
22989,Computer Data Systems Inc
22896,Compuserve Corp
23019,Computer Horizons Corp
23055,Group 1 Software Inc
23071,Artesyn Technologies Inc
23304,Cone Mills Corp
23236,Latshaw Enterprises Inc /Ks/
23341,Congoleum Corp
23259,Ct Communications Inc /Nc
23082,Computer Sciences Corp
23111,Computer Task Group Inc
23194,Comstock Resources Inc
23217,Conagra Brands Inc.
23197,Comtech Telecommunications Corp /De/
23426,Connecticut Light & Power Co
23432,Connecticut Natural Gas Corp
23533,Calmat Co
23503,Conolog Corp
23593,Vinland Property Trust
23632,Consolidated Edison Co Of New York Inc
23738,Consolidated Natural Gas Co/Va
23752,Consolidated Papers Inc
23778,"Convergence Ethanol, Inc."
23910,Consumers Water Co
24004,Dunes Hotels & Casinos Inc
24008,Continental Conveyor & Equipment Co
23666,Hillshire Brands Co
24055,Continental Heritage Corp
24077,Continental Investment Corp /Ga/
23675,Con-Way Inc.
24071,Continental Information Systems Corp
23795,"Cto Realty Growth, Inc."
24104,Continental Materials Corp
24148,Continental Real Estate Partners Ltd
24454,Cooper Industries Inc
24581,Preferred Financial Resources Inc
24751,Corning Natural Gas Corp
24090,"Citizens, Inc."
25095,True Value Co
25118,Cotton States Life Insurance Co /
24491,Cooper Tire & Rubber Co
24545,Molson Coors Beverage Co
25212,Courier Corp
25305,Cox Communications Inc /De/
25350,Bestfoods
25191,Countrywide Financial Corp
25360,Cpt Holdings Inc
25373,Cracker Barrel Old Country Store Inc
25232,Cousins Properties Inc
24741,Corning Inc /Ny
25598,Onemain Finance Corp
25354,Cpi Corp
25600,Springleaf Finance Inc
25657,Crested Corp
25445,"Crane Nxt, Co."
25871,Crowley Milner & Co
25757,Crompton & Knowles Corp
25793,Costa Inc
25475,Crawford & Co
25885,Crown Central Petroleum Corp /Md/
25890,Crown Cork & Seal Co Inc
25743,"Therapeuticsmd, Inc."
26020,Crystal Mountain Inc
26093,Culbro Corp
25895,Crown Crafts Inc
26379,Xologic Inc
26537,"Argon St, Inc."
26058,Cts Corp
26076,Cubic Corp /De/
26285,Birds Eye Foods Inc
26172,Cummins Inc
26324,Curtiss Wright Corp
26782,Eip Microwave Inc
26820,Phoenix Footwear Group Inc
26821,Daniel Industries Inc
26987,Smtek International Inc
26938,Dart Group Corp
26990,Data Dimensions Inc
26994,Data Documents Inc/De/
26999,Data General Corp
27075,Datamarine International Inc
27082,Datametrics Corp
27099,Datatab Inc
27096,Datascope Corp
26780,Dana Inc
27116,Datron Systems Inc/De
27119,Datum Inc
27326,Davis Water & Waste Industries Inc
27367,Daxor Corp
27093,U.S. Gold Corp.
27425,Amcast Industrial Corp
27430,Dayton Power & Light Co
27442,Dba Systems Inc
27466,De Anza Properties Ix Liquidating Trust
27500,Dean Holding Co
27566,Lynton Group Inc
27613,Decorator Industries Inc
27419,Target Corp
27751,Del Laboratories Inc
27748,Dgt Holdings Corp.
27879,Delmarva Power & Light Co /De/
27850,Bankers Store Inc
27960,Qsgi Inc.
27984,Deltona Corp
27673,Deere John Capital Corp
28209,Deposit Guaranty Corp
28146,Hydron Technologies Inc
28238,Derand Real Estate Investment Trust
28325,Gristedes Foods Inc
27904,"Delta Air Lines, Inc."
28365,Detection Systems Inc
28367,Cogo Group Inc.
28372,Detrex Corporation
27996,Deluxe Corp
28374,Detroit & Canada Tunnel Corp
28385,Dte Electric Co
28452,Devcon International Corp
28561,Dewey Electronics Corp
28582,Dexter Corp
28613,Di An Controls Inc
28626,Lifecore Biomedical Inc
28630,Drs Technologies Inc
28729,Verizon Delaware Inc
28742,Diapulse Corp Of America
28761,Dick A B Co
28866,Cgg Holding (U.S.) Inc.
28871,Di Giorgio Corp
28887,Digital Equipment Corp
28412,Comerica Inc
29006,Dionics Inc
29071,Discovery Oil Ltd
28823,"Diebold Nixdorf, Inc"
29233,"Gps Industries, Inc."
29258,Diversified Realty Inc
29302,Weatherford Enterra Inc
29002,Diodes Inc /Del/
29322,Tradequest International Inc
29504,Omega Commercial Finance Corp
29590,United Dominion Industries Limited
28917,"Dillard'S, Inc."
29693,Donnkenny Inc
29806,Constar International Inc
29332,Dixie Group Inc
29534,Dollar General Corp
29834,Escalera Resources Co.
29646,Credit Suisse (Usa) Llc
29669,Rr Donnelley & Sons Co
29952,"China Changjiang Mining & New Energy Company, Ltd."
29644,Donaldson Co Inc
30037,Dragon Mining Corp
29850,Doughties Foods Inc
30067,Dravo Corp
29905,Dover Corp
29924,Dow Jones & Co Inc
30099,Dresser Industries Inc /De/
29989,Omnicom Group Inc.
30117,Greate Bay Casino Corp
30140,Lasercard Corp
30197,Driver Harris Co
30302,Alco Stores Inc
29915,Dow Chemical Co /De/
30573,Duquesne Light Co
30770,Dyncorp
30305,Ducommun Inc /De/
30371,"Duke Energy Carolinas, Llc"
30819,Dynamics Corp Of America
30419,Dex One Corp
30822,Dynamics Research Corp
30625,Flowserve Corp
30828,Cobra Electronics Corp
30831,Dynasil Corp Of America
30906,Eagle Exploration Co
30841,Acterna Corp
30892,Eac Industries Inc
30908,Eagle Food Centers Inc
30554,"Eidp, Inc."
30927,Eagle Picher Inc
30697,Wendy'S Co
30966,"Matrixx Resource Holdings, Inc."
30985,Earth Sciences Inc
31079,Worksafe Industries Inc
31224,Eastern Utilities Associates
31348,Echlin Inc
31364,Eckerd Corp
31107,Eastern Co
31617,Edo Corp
31575,Edison Brothers Stores Inc
31235,Eastman Kodak Co
31277,Eaton Corp
31347,Echelon Corp
31660,Ecc International Corp
31667,Educational Development Corp
31704,Twenty Services Inc
31862,Eico Electronic Instrument Co Inc
31986,El Paso Natural Gas Co Llc
32020,Elder Beerman Stores Corp
32017,Elkcorp
31462,Ecolab Inc.
32120,Electro Catheter Corp
31791,"Revvity, Inc."
32166,Electro Rent Corp
31978,El Paso Electric Co /Tx/
32258,L-3 Communications Titan Corp
32251,Eis International Inc /De/
32272,Three Five Systems Inc
32284,"Ovale Group, Inc"
32312,Emcee Broadcast Products Inc
32346,Elgin National Industries Inc
32379,Elizabethtown Water Co /Nj/
32198,Ems Technologies Inc
32567,Emerge Health International Inc
32666,Emons Transportation Group Inc
32621,Emerson Radio Corp
32776,Empire State Building Associates L.L.C.
32866,Global Online India Inc
32870,Quixote Corp
32878,Energy Conversion Devices Inc
32880,Energy Corp Of America
32604,Emerson Electric Co
32908,Weatherford International Llc /New/
32689,Empire District Electric Co
33015,Txu Gas Co
33073,Viskase Companies Inc
33081,Environment One Corp
33113,Environmental Tectonics Corp
33002,"Ennis, Inc."
33325,Equity Oil Co
33416,Erie Family Life Insurance Co
33565,Essex Group Inc
33213,Eqt Corp
33656,Ethyl Corp
33185,Equifax Inc
33780,Evans Inc
33488,Escalade Inc
33533,Espey Mfg & Electronics Corp
33798,Grossmans Inc
33619,Esterline Technologies Corp
34047,Exotech Inc
34046,Exolon Esk Co
33769,Bob Evans Farms Inc
34115,Claires Stores Inc
34125,F&M National Corp
34136,Fab Industries Trust
33992,"Kingstone Companies, Inc."
34236,Fair Grounds Corp
34169,Three D Departments Inc
34067,Dmc Global Inc.
34285,Reliability Inc
34296,Fairmount Chemical Co Inc
34339,Falcon Products Inc /De/
34371,Fall River Gas Co
34471,Fansteel Inc
34151,Jo-Ann Stores Inc
34489,Westminster Capital Inc
34088,Exxon Mobil Corp
34497,Covista Communications Inc
34501,Savane International Corp
34551,Farm Fish Inc
34616,Farmland Industries Inc
34587,Farmers Group Inc
34408,Family Dollar Stores Inc
34629,Farr Co
34645,Farrel Corp
34768,Fays Inc
34879,Federal Mogul Corp/Mi/
34563,Farmer Brothers Co
34884,Federal Mortgage Corp Of Puerto Rico
34956,"Tenax Therapeutics, Inc."
34908,Federal Screw Works
34977,Federated Purchaser Inc
34782,1St Source Corp
35305,Ph Group Inc
35469,Fieldcrest Cannon Inc
35522,Fifth Dimension Inc
34903,Federal Realty Investment Trust
35733,Financial Industries Corp
35838,Financial Services Corporation Of The Midwest
35214,Ferro Corp
36032,Regions Financial Corp
36068,First American Corp /Tn/
36090,Bank One Corp /Oh/
36094,Magna Group Inc
36029,First Financial Bankshares Inc
36204,First Commerce Corp /La/
36047,"Corelogic, Inc."
36315,First Financial Corp /Tx/
36369,First Hartford Corp
35527,Fifth Third Bancorp
36146,Trustmark Corp
36377,"First Hawaiian, Inc."
36506,Mackinac Financial Corp /Mi/
36510,Allfirst Financial Inc
36537,First Mississippi Corp
36104,Us Bancorp \De\
36548,First Mortgage Corp /Ut/
36522,First Michigan Bank Corp
36672,Bankboston Corp
36678,Star Banc Corp /Oh/
36703,First Of America Bank Corp /Mi/
36725,First National Of Nebraska Inc
36270,M&T Bank Corp
36781,First Of Michigan Capital Corp
36856,First Republic Corp Of America
36840,"First Real Estate Investment Trust Of New Jersey, Inc."
37032,First Virginia Banks Inc
37049,First West Virginia Bancorp Inc
37070,First Wilkow Venture
37076,Firstar Corp /Wi/
37093,Firstbank Of Illinois Co
36966,First Horizon Corp
37180,Rini Rego Supermarkets Inc
37358,Flamemaster Corp
37008,Winthrop Realty Liquidating Trust
37525,Gerald Stevens Inc/
37634,Florida Power & Light Co
37637,"Duke Energy Florida, Llc"
37643,Florida Public Utilities Co
36995,Wachovia Corp New
37661,Ameristeel Corp
37664,Sprint Florida Inc
37472,Flexsteel Industries Inc
37743,Fluke Corp
37755,Furon Co
37651,Florida Rock Industries Inc
37848,Wasatch Pharmaceutical Inc
37912,Delhaize America Llc
37914,"Foodarama Supermarkets, Inc."
37931,True North Communications Inc
37748,"Alpha Appalachia Holdings, Inc."
37946,For Better Living Inc
37785,Fmc Corp
38195,Fort Howard Corp
38242,Fortune Natural Resources Corp
38067,Forest City Enterprises Inc
37808,Fnb Corp/Pa/
38074,"Forest Laboratories, Llc"
38079,Sabine Oil & Gas Corp
38483,Ameristar International Holdings Corp
38321,Foster Wheeler Corp
37996,Ford Motor Co
38264,"Forward Industries, Inc."
38570,Orleans Homebuilders Inc
38009,Ford Motor Credit Co Llc
38792,Franks Nursery & Crafts Inc
38851,Thorn Apple Valley Inc
38824,Frawley Corp
38868,Fredericks Of Hollywood Inc
38981,Wireless Frontier Internet Inc
38725,Franklin Electric Co Inc
39020,Frequency Electronics Inc
39092,Friedman Industries Inc
39244,Washington Security Life Insurance Co
39135,Friendly Ice Cream Corp
38723,1St Franklin Financial Corp
38984,"Elah Holdings, Inc."
39273,Frozen Food Express Industries Inc
39047,Frischs Restaurants Inc
39648,G&K Services Llc
39547,"Mig, Inc."
39263,"Cullen/Frost Bankers, Inc."
39743,Lbu Inc
39311,Independent Bank Corp /Mi/
39910,Gap Instrument Corp
39917,Garan Inc
39677,"Av Homes, Inc."
40023,Garment Capitol Associates
39899,Tegna Inc
40194,Gateway Energy Corp/Ne
39368,Fuller H B Co
39911,Gap Inc
40443,Ga Express Inc
40409,General Aircraft Corp
38777,Franklin Resources Inc
40493,Harcourt General Inc
40511,General Credit Corp
40461,General Binding Llc
40518,General Datacomm Industries Inc
40211,Gatx Corp
40542,Devon Group Inc
40528,"Medclean Technologies, Inc."
19617,Jpmorgan Chase & Co
40570,Gee Group Inc.
40643,General Housewares Corp
40656,General Semiconductor Inc
40675,General Kinetics Inc
40687,General Magnaplate Corp
40638,Fnc Holdings Inc
40703,General Microwave Corp
40533,General Dynamics Corp
40779,Gpu Inc /Pa/
40834,General Signal Corp
40858,Gte Corp
40545,General Electric Co
40864,Verizon California Inc
40554,General Electric Capital Corp
40865,Verizon Florida Inc
40867,Verizon North Inc
40730,Motors Liquidation Co
40874,Gte Southwest Inc
40877,Verizon Northwest Inc
40878,Verizon South Inc
40704,General Mills Inc
40934,Genesee Corp
40970,Genovese Drug Stores Inc
40972,Genrad Inc
41017,Johnston Industries Inc
41023,Georesources Inc
41052,Bontex Inc
40888,"Aerojet Rocketdyne Holdings, Inc."
41077,Georgia Pacific Corp
40729,Ally Financial Inc.
41133,Gerber Scientific Inc
41147,Geriatric & Medical Companies Inc
41289,Giant Food Inc
40987,Genuine Parts Co
41296,Giant Group Ltd
41304,Royal Oak Mines Inc
41499,Gillette Co
41091,Georgia Power Co
41656,Gladstone Energy Inc
41850,Global Marine Inc
41980,Goddard Industries Inc
42119,Gold Reserve Corp
42037,Gold & Minerals Co Inc/Az
42136,"Chang-On International, Inc."
42050,Western Sierra Resource Corp
42179,Jg Industries Inc/Il/
42228,Golden Enterprises Inc
42246,Mirage Resorts Inc
42284,Whitemark Homes Inc
41719,Magnera Corp
42293,Golden West Financial Corp /De/
42429,Golf Host Resorts Inc
42316,Goldfield Corp
42504,Goodheart Willcox Co Inc
42791,Goulds Pumps Inc
42872,Fresenius Medical Care Holdings Inc /Ny/
43052,Full Moon Universe Inc
42542,Goodrich Corp
43134,Graphic Controls Corp
42682,Gorman Rupp Co
43340,Investors Insurance Group Inc
43300,Great Atlantic & Pacific Tea Co Inc
43350,Gas Natural Inc.
43362,Great Lakes Chemical Corp
42888,Graco Inc
43196,"Gray Media, Inc"
42582,Goodyear Tire & Rubber Co /Oh/
43398,Gnc Energy Corp
43410,Great Northern Iron Ore Properties
43512,Great Western Financial Corp
43837,Noodle Kidoodle Inc
43704,Green Mountain Power Corp
43952,Grey Global Group Inc
43960,Finova Capital Corp
44041,Grist Mill Co
44319,Gti Corp
44471,Guilford Mills Inc
44358,Guaranty National Corp
44524,Gulfmark International Inc
44570,"Entergy Gulf States Louisiana, Llc"
44545,Gulf Power Co
44689,Gyrodyne Co Of America Inc
43920,"Greif, Inc"
44764,Hach Co
44800,Analex Corp
45333,Handy & Harman
45260,Hampton Industries Inc /Nc/
45370,Hanna M A Co/De
45379,Hannaford Brothers Co
45599,Harland John H Co
45621,Amexdrug Corp
45635,Harmon Industries Inc
45674,Circle International Group Inc /De/
45694,Noram Capital Holdings
45791,Paul Harris Stores Inc
45729,Harris Bankcorp Inc
46026,Grip Technologies Inc
46012,Harvard Industries Inc
46043,Harvey Electronics Inc
45012,Halliburton Co
46109,Hastings Manufacturing Co
45876,Enviri Corp
45919,Harte Hanks Inc
45947,Talcott Resolution Life Insurance Co
46189,Essex Gas Co
46205,Hawaiian Airlines Inc/Hi
46080,"Hasbro, Inc."
46207,Hawaiian Electric Co Inc
46216,"Hawaiian Telcom, Inc."
46129,Allient Inc
46267,Hawthorne Financial Corp
46195,Bank Of Hawaii Corp
46428,Health Chem Corp
46445,Hmi Industries Inc
46517,Hechinger Co
46535,Steel City Products Inc
46601,Heilig Meyers Co
46613,Hein Werner Corp
46250,Hawkins Inc
46656,Regency Equities Corp
46653,Ablest Inc
46709,Helix Technology Corp
46738,Heller Financial Inc
46916,Henry Co
46619,Heico Corp
46989,Hercules Inc
47035,Herley Industries Inc /New
46640,Kraft Heinz Foods Co
47129,Hertz Corp
